lastname|name|patronymic|date_of_birth|id
Ефимова|Вера|Григорьевна|01.05.2011|411389407-983
Валентин|Васильевич|Тарасов|06.08.1944|012105642-2855
Ираклий|Харлампьевич|Блохин|30.01.1950|597485918-8628
Полина|Наумовна|Исакова|29.10.1914|724631992-1347
Василиса|Кузьминична|Дмитриева|03.06.1942|342545583-5383
Вероника|Львовна|Громова|21.05.1912|895064047-7191
Прокофий|Брониславович|Орлов|18.04.2005|734837409-6239
Изот|Игоревич|Куликов|08.01.1924|923892866-8521
Клавдия|Евгеньевна|Тетерина|27.09.1953|414913709-1843
Новиков|Август|Феодосьевич|23.02.1956|882432138-4803
Красильников|Валерий|Тихонович|28.04.1916|412646156-3492
Иванна|Игоревна|Щукина|02.09.1942|953544186-6457
Евдокия|Станиславовна|Зиновьева|04.08.2003|713509092-4516
Константинов|Владилен|Ануфриевич|26.04.1976|235887343-586
Валентина|Святославовна|Мишина|13.03.1948|196704212-5078
Денисов|Евсей|Гурьевич|25.02.1918|284878937-4855
Лобанова|Агата|Рудольфовна|11.11.1928|390343676-6520
Кулакова|Виктория|Аркадьевна|19.05.1946|934275507-5482
Семенова|Полина|Андреевна|29.09.1924|555281150-2045
Доронина|Зоя|Романовна|02.07.1948|526256139-1434
Аполлон|Бориславович|Пестов|17.10.1958|772477402-5083
Хохлова|Ульяна|Захаровна|17.06.2005|080251510-3708
Бобылева|Фаина|Валентиновна|13.01.1909|790255314-4556
Якушева|Лариса|Дмитриевна|08.07.1945|279427910-9012
Терентий|Георгиевич|Филиппов|10.01.2010|507629054-4844
Лукина|Клавдия|Константиновна|11.07.1974|632264487-4561
Зинаида|Владимировна|Соболева|03.10.1980|308970389-5438
Анисимова|Елена|Макаровна|31.05.1935|991557686-2131
Вадим|Елисеевич|Капустин|12.04.1993|999624427-4984
Матвей|Федосеевич|Голубев|02.05.1960|840187775-635
Натан|Гордеевич|Кудрявцев|14.02.2001|691181724-4619
Полина|Олеговна|Прохорова|31.05.1972|295879382-3713
Зайцева|Наталья|Святославовна|06.11.1990|673398925-5852
Ираида|Дмитриевна|Устинова|30.06.1939|356633318-3561
Панфилова|Зинаида|Павловна|24.12.1958|498966469-2001
Доронина|Евфросиния|Васильевна|21.08.2014|585099405-2884
Анна|Ждановна|Герасимова|09.10.1996|986330562-9341
Архипова|София|Оскаровна|04.11.1965|039666204-616
Фёкла|Даниловна|Алексеева|21.04.1936|339113973-3148
Кира|Тимофеевна|Гордеева|30.09.1920|402382427-2781
Комиссарова|Агафья|Дмитриевна|21.05.1911|931522079-2868
Глафира|Тимофеевна|Михеева|10.08.2014|503820157-3124
Остромир|Федосеевич|Якушев|19.12.1951|468475446-9472
Хохлова|Александра|Константиновна|13.01.1957|928445483-4289
Евдоким|Давидович|Терентьев|06.06.1973|068347172-387
Лихачев|Давыд|Ильясович|20.07.1999|057862196-7151
Иванов|Анисим|Феликсович|28.02.1953|181808540-6614
Нонна|Станиславовна|Орехова|25.10.1972|729866340-5497
Михеев|Зосима|Ермилович|15.06.1970|855472155-5621
Шарапов|Архип|Давыдович|30.07.1939|012920752-7132
Ювеналий|Евсеевич|Архипов|08.02.1981|299663833-6915
Григорьев|Мефодий|Филиппович|02.09.2023|644073415-9672
Лариса|Рудольфовна|Медведева|28.06.2018|672224519-9935
Рябова|Фаина|Леонидовна|29.08.1950|843762548-2965
Эрнест|Фадеевич|Шашков|11.11.1986|908393316-7392
Милен|Феликсович|Кузьмин|08.03.1995|944517746-9654
Аверкий|Трофимович|Блохин|07.01.1927|498277838-6886
Авдеева|Лариса|Игоревна|01.10.1976|528711302-6706
Дьячкова|Акулина|Харитоновна|19.04.1961|976784615-3992
Ковалева|Наталья|Ниловна|18.12.1919|870582531-7769
Соколов|Вацлав|Викторович|01.05.2002|709820304-6449
Олимпиада|Семеновна|Виноградова|10.04.1924|654942316-7667
Зоя|Захаровна|Громова|11.01.1963|454705278-922
Никитин|Влас|Витальевич|08.06.2023|219284810-9011
Акулина|Владиславовна|Титова|24.07.1915|093991509-4520
Прокл|Владиленович|Шарапов|16.03.2017|533874276-7861
Новиков|Влас|Ефимович|10.12.1948|759919636-9952
Милован|Фокич|Савин|29.05.1942|457254987-4880
Гришина|Нонна|Юльевна|28.03.1940|338967020-8358
Ангелина|Богдановна|Орлова|28.03.1952|052015666-6848
Ермаков|Адриан|Владленович|05.01.1985|223766947-9505
Евгения|Матвеевна|Давыдова|09.12.1996|192171137-1912
Фаина|Ниловна|Чернова|02.12.2015|704963685-6649
Тихонов|Пантелеймон|Чеславович|01.02.1912|712891170-9478
Милица|Васильевна|Кабанова|09.08.2018|796515706-4405
Вениамин|Бенедиктович|Бобров|12.01.1979|635056045-500
Нонна|Натановна|Журавлева|25.09.1943|874136946-8994
Нинель|Георгиевна|Некрасова|03.01.2021|388292444-7814
Тарасов|Мариан|Исидорович|12.04.1989|093136459-3605
Наумова|Оксана|Феликсовна|21.09.1942|056097555-2257
Селезнев|Прокл|Игнатович|22.05.1969|846526881-3598
Харитонова|Пелагея|Артемовна|23.07.1953|998236119-6355
Евгения|Богдановна|Захарова|19.05.1922|007100967-3828
Климент|Валерьянович|Веселов|01.09.2002|879553959-8305
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
Елена|Артемовна|Лукина|07.07.1987|681574632-8032
Жанна|Игоревна|Григорьева|24.04.2015|993643324-9708
Мария|Антоновна|Антонова|15.02.2017|222769556-6158
Филатов|Порфирий|Евстигнеевич|06.11.1916|693555788-5325
Кира|Кузьминична|Голубева|31.01.2023|311942525-9165
Варвара|Натановна|Орлова|23.04.1970|014432642-963
Елена|Анатольевна|Гуляева|26.12.1982|096024946-7346
Гурьева|Глафира|Аскольдовна|13.04.1957|710600535-6175
Веселов|Ратибор|Ефимьевич|27.07.1978|370442140-3125
Валерия|Никифоровна|Константинова|10.06.1998|161706188-2379
Молчанов|Каллистрат|Тимурович|16.12.1945|299141086-7027
Куприян|Ааронович|Силин|31.05.1994|917614457-9049
Алина|Романовна|Морозова|23.02.1910|586832933-1863
Ирина|Степановна|Турова|08.09.1976|147406180-4692
Аверьян|Адрианович|Котов|09.11.2000|879532511-5649
Нонна|Вадимовна|Пономарева|05.12.1984|732550681-6148
Наумова|Оксана|Феликсовна23.07.2007|225242943-5146
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
Кира|Кузьминична|Голубева|23.07.2007|225242943-5146
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
Гурьева|Глафира|Аскольдовна|23.07.2007|225242943-5146
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
Попов|Федор|Терентьевич|23.07.2007|225242943-5146
